grad_# in Cohort,grad_% Dropped Out,grad_% Graduated,grad_% H.S. Equiv.,grad_% Non-Grad Completers,grad_% Permanently Excluded,grad_% Still in School,District Code,Year,sal_Average Salary,sal_FTE Count,sal_Salary Totals,mcas_MCAS_Avg. Scaled Score_ELA,mcas_MCAS_Avg. Scaled Score_MATH,mcas_MCAS_Avg. Scaled Score_SCI,mcas_MCAS_SGP_ELA,mcas_MCAS_SGP_MATH,expend_In-District Expenditures,expend_In-District Expenditures per Pupil,expend_Total Expenditures,expend_Total Expenditures per Pupil,expend_Total In-district FTEs,expend_Total Pupil FTEs,age_26-32 yrs (%),age_33-40 yrs (%),age_41-48 yrs (%),age_49-56 yrs (%),age_57-64 yrs (%),age_<26 yrs (% ),age_Over 64 yrs (%),prog_Career Technical Education (%),prog_English Learners (%),prog_General Education (%),prog_Special Education (%),demo_American Indian or Alaska Native,demo_Asian,demo_Black or African American,demo_Female,demo_Hispanic or Latino,demo_Male,"demo_Multi-Race, Not Hispanic or Latino",demo_Native Hawaiian or Other Pacific Islander,demo_Nonbinary,demo_White,sat_Math,sat_Reading,sat_Tests Taken,District Name
215,0.5,96.7,0.5,0,0,2.3,00230000,2017,"$86,324 ",222,"$19,189,845 ",507.3,508.9,,47.5,54,"$42,272,869.00 ","$16,156.27 ","$47,900,758.00 ","$17,852.10 ","2,616.50","2,683.20",23.1,24,23.9,17.5,5.1,5.2,1.2,0,0.8,83.3,15.8,0,14.4,6.3,49,5.8,51,4.9,0.2,,68.4,600,,223,Bedford
173,2.3,96,0,0,0,1.7,00240000,2017,"$65,670 ",169,"$11,117,918 ",498.3,495.7,,43,46,"$29,670,130.00 ","$12,711.05 ","$32,684,038.00 ","$13,024.64 ","2,334.20","2,509.40",15.5,18.5,27.9,19.4,10.8,2,5.9,0,0.6,82.8,16.6,0.2,1.8,2.1,49.4,3.9,50.6,2.3,0.2,,89.5,568,,150,Belchertown
143,1.4,91.6,0,0.7,0,6.3,00250000,2017,"$75,911 ",165,"$12,487,311 ",498.1,498.9,,52,59,"$32,156,315.00 ","$14,198.30 ","$36,585,033.00 ","$14,695.74 ","2,264.80","2,489.50",11.9,25,20.1,20.2,16.3,2.7,3.8,0,0,84.9,15.1,0.2,3,1.7,48.4,3.9,51.5,1.6,0.7,,89,548,,139,Bellingham
297,1.3,96.6,0,0,0,2,00260000,2017,"$85,906 ",270,"$23,160,307 ",512.3,516,,53,55,"$53,960,673.00 ","$12,141.55 ","$61,803,711.00 ","$13,581.74 ","4,444.30","4,550.50",28.6,37.9,16.1,9.4,6.6,1.4,0,0,3,87.7,9.3,0.1,18.1,3.5,49.9,4.2,50.1,6.6,0.1,,67.4,634,,387,Belmont
16,6.3,87.5,0,0,0,6.3,04140000,2017,,,,499.6,500.3,,53,48,"$5,885,009.46 ","$16,868.82 ","$5,885,009.46 ","$16,868.82 ",348.9,348.9,27.6,24,28.2,15.1,1.7,3.4,0,0,0,93.2,6.8,0,2.5,14.6,51.7,6.7,48,3.9,0.3,,71.9,561,,43,Berkshire Arts and Technology Charter Public (District)
146,2.1,95.2,0,0.7,0,2.1,06180000,2017,"$71,254 ",114,"$8,122,980 ",495.4,492.3,,35,38,"$24,617,372.00 ","$19,474.23 ","$27,087,042.00 ","$19,442.32 ","1,264.10","1,393.20",8.8,21.1,22.3,30.2,8.7,7,2,4.1,1.8,84.3,9.9,0.2,2.6,1.9,48.8,7.2,51.2,3.9,0.2,,84.1,546,,125,Berkshire Hills
88,1.1,95.5,0,0,0,3.4,06200000,2017,"$69,677 ",47,"$3,253,895 ",501.4,503.6,,44,57,"$8,061,523.00 ","$13,733.43 ","$9,762,616.00 ","$15,316.31 ",587,637.4,12.7,22.9,29.2,15.7,16.9,2.5,0,0,0.7,93.7,5.7,0,3.1,1,47.8,2.6,52.2,2.1,0,,91.3,585,,107,Berlin-Boylston
346,3.5,88.4,0.3,1.4,0,6.4,00300000,2017,"$71,528 ",319,"$22,826,900 ",500.6,499.3,,46,51,"$58,544,427.00 ","$12,859.56 ","$66,163,191.00 ","$13,964.08 ","4,552.60","4,738.10",22.5,24.3,21.1,15.9,10.9,3.8,1.5,0,1.6,83.7,14.7,0,2.3,2.9,47.9,11.7,52.1,3.3,0.1,,79.6,552,,375,Beverly
324,6.5,85.2,0.3,0.6,0,7.4,00310000,2017,"$82,312 ",373,"$30,735,410 ",498.9,500,,50,52,"$74,891,636.00 ","$15,363.65 ","$81,966,761.00 ","$15,899.20 ","4,874.60","5,155.40",16.6,24.5,24.3,20.6,8.1,3.4,2.4,0,0.3,91.5,8.3,0.1,6.7,3.4,49,5.3,51,2.5,0.1,,81.9,549,,330,Billerica
288,0,99.3,0,0,0,0.7,08050000,2017,"$81,380 ",96,"$7,836,861 ",,,,,,"$23,488,964.00 ","$19,134.05 ","$23,513,435.00 ","$19,091.78 ","1,227.60","1,231.60",21.9,15.5,16.6,25.4,13.3,5.2,2.2,46.5,0.4,53,0.1,0,0.8,0.6,51.8,2.9,48.2,1.6,0,,94.1,542,,379,Blackstone Valley Regional Vocational Technical
121,4.1,92.6,0.8,0,0,2.5,06220000,2017,"$66,814 ",137,"$9,160,257 ",497.9,495.9,,45,44,"$22,682,330.00 ","$13,044.07 ","$25,032,321.00 ","$13,354.13 ","1,738.90","1,874.50",17,15.2,24.5,21.2,15.4,4.3,2.6,0,2.2,84.2,13.7,0.1,1.3,1.3,49,5.4,51,2.7,0,,89.2,539,,113,Blackstone-Millville
219,1.4,96.3,0.5,0,0,1.8,08060000,2017,"$79,990 ",85,"$6,759,172 ",,,,,,"$19,739,585.00 ","$22,030.79 ","$19,739,585.00 ","$22,030.79 ",896,896,30.3,22.9,21.1,12.5,7.9,5.3,0,49.5,0.2,41.6,8.7,0.8,0.7,22.7,44.5,11.9,55.5,4.5,0.1,,59.3,501,,181,Blue Hills Regional Vocational Technical
"4,111",10.3,72.7,1.2,1.4,0,14.4,00350000,2017,"$99,368 ","3,955.00","$393,000,102 ",489.4,488.8,,46,41,"$1,131,250,380.00 ","$20,776.83 ","$1,365,321,554.00 ","$20,201.16 ","54,447.70","67,586.30",21.5,26.5,20.6,14.6,9.9,5.3,1.5,0.1,0.1,99.2,0.6,0.3,8.8,31.8,48.1,41.8,51.9,2.9,0.2,,14.2,511,,"4,269",Boston
65,0,95.4,0,0,0,4.6,04490000,2017,,,,497.4,500.2,,47,60,"$12,028,365.40 ","$17,801.51 ","$12,028,365.40 ","$17,801.51 ",675.7,675.7,42.8,11.5,10.5,2.6,0,32.6,0,0,2.3,91.6,6.1,0.7,2.2,27.5,51.9,19.7,48.1,2.4,0,,47.5,571,,121,Boston Collegiate Charter (District)
134,24.6,11.2,0.7,0,0,63.4,04240000,2017,,,,,,,,,"$4,027,256.00 ","$10,263.96 ","$4,027,256.00 ","$10,263.96 ",392.4,392.4,20,28,28,10.7,10.7,2.7,0,1.1,0,96.7,2.2,1,2,48.3,57.7,40.1,42.3,3.2,0.2,,5.2,459,,19,Boston Day and Evening Academy Charter (District)
67,1.5,74.6,1.5,0,0,22.4,04110000,2017,,,,488.3,477,,53,26,"$8,118,884.00 ","$16,878.20 ","$8,118,884.00 ","$16,878.20 ",481,481,38.2,38.8,8.3,6.4,0,8.3,0,0,0,100,0,0,0.8,54.8,48.5,32.6,51.5,4.4,0,,7.4,459,,55,Boston Green Academy Horace Mann Charter School (District)
43,0,86,0,0,0,14,04160000,2017,,,,494.7,497,,63,50,"$8,288,459.00 ","$20,103.08 ","$8,288,459.00 ","$20,103.08 ",412.3,412.3,49.9,7.4,3.3,0,0,39.4,0,0,2,79.8,18.1,0.5,1,69.2,48.2,24.8,51.8,1.9,0.2,,2.4,533,,85,Boston Preparatory Charter Public (District)
101,5,92.1,2,0,0,1,00360000,2017,"$84,685 ",145,"$12,304,662 ",498.3,496.1,,55,58,"$29,541,793.00 ","$15,190.14 ","$34,252,071.00 ","$15,423.30 ","1,944.80","2,220.80",11.7,20.2,22.9,25.7,15.3,3.6,0.6,0,0.7,93.7,5.6,0.9,1.8,1.7,49.5,3.6,50.5,3.5,0.2,,88.5,535,,108,Bourne
400,1.5,95.5,0,0,0,3,00400000,2017,"$81,085 ",412,"$33,382,817 ",506.2,504.6,,46,44,"$79,909,835.00 ","$13,686.71 ","$86,462,381.00 ","$14,535.65 ","5,838.50","5,948.30",29.1,26.4,18.5,11.6,7.2,6,1.1,0,1.7,80,18.3,0.3,15.7,4.8,49.8,4.3,50.2,1.3,0.1,,73.6,576,,550,Braintree
414,4.3,91.5,0,1.7,0,2.4,06250000,2017,"$82,760 ",335,"$27,741,126 ",501,503.5,,46,57,"$65,855,947.00 ","$12,273.96 ","$72,851,377.00 ","$13,032.68 ","5,365.50","5,589.90",23.1,18.7,22.2,18.2,13.6,3.5,0.7,0,0.4,91.2,8.4,0.1,1.8,4.2,48.2,2.5,51.8,3.5,0.1,,87.7,557,,449,Bridgewater-Raynham
107,0,100,0,0,0,0,09100000,2017,"$69,357 ",35,"$2,413,617 ",,,,,,"$8,976,849.00 ","$19,803.33 ","$8,976,849.00 ","$19,803.33 ",453.3,453.3,20.4,24.2,15.6,22.8,8.5,6,2.6,52.1,0,39.8,8.1,0.2,0.2,0.2,71.4,2.6,28.2,1.3,0,,95.5,527,,70,Bristol County Agricultural
317,0.3,98.7,0.3,0,0,0.6,08100000,2017,"$88,171 ",100,"$8,790,695 ",,,,,,"$24,537,223.00 ","$18,451.81 ","$24,595,673.00 ","$18,334.46 ","1,329.80","1,341.50",12.5,33.6,25,19.6,7.5,0,1.9,42.6,0.3,49.9,7.3,0.5,0.7,2.9,42.1,6.4,57.7,3.1,0,,86.4,511,,225,Bristol-Plymouth Regional Vocational Technical
"1,297",8.6,77.7,0.4,7,0,6.2,00440000,2017,"$89,725 ","1,079.00","$96,802,988 ",486.9,485.4,,46,41,"$241,743,187.00 ","$14,308.39 ","$263,839,103.00 ","$14,662.37 ","16,895.20","17,994.30",16.7,24.5,21.7,20.1,12.9,2.8,1.3,0.4,3.2,83.1,13.2,0.4,2.2,57,48.1,15.3,51.9,4.6,0.2,,20.4,489,,931,Brockton
476,1.5,93.5,0.8,0,0,4.2,00460000,2017,"$101,413 ",611,"$61,973,456 ",511.3,512.1,,69,70,"$146,378,463.00 ","$18,981.59 ","$151,978,958.00 ","$19,527.54 ","7,711.60","7,782.80",25.5,26.3,21.4,12.8,7.1,5.5,1.3,1,3.9,83.4,11.7,0,19.3,5.9,49.3,10.2,50.7,9.1,0.1,,55.3,642,,515,Brookline
264,0.4,95.5,2.3,0,0,1.9,00480000,2017,"$101,854 ",310,"$31,544,308 ",495.7,500.1,,34,57,"$66,817,171.00 ","$19,027.02 ","$74,614,292.00 ","$20,605.99 ","3,511.70","3,621.00",20.3,29.6,19.1,16.4,9.3,2.3,2.9,0,2.1,86.1,11.8,0.3,16.4,5.6,48.7,5.5,51.3,3.6,0,,68.5,577,,313,Burlington
497,2.8,89.7,0,0.8,0,6.6,00490000,2017,"$88,737 ",654,"$58,025,150 ",502.8,500.5,,50,47,"$182,112,162.00 ","$26,778.44 ","$212,707,498.00 ","$28,638.22 ","6,800.70","7,427.40",25.8,26.7,21.8,10.8,9.5,3.4,2,3.4,3.2,75.3,18.1,0.4,12.3,25.5,49.2,13.7,50.8,7.7,0.2,,40.2,576,,540,Cambridge
219,0.9,95.9,0,0.9,0,2.3,00500000,2017,"$79,839 ",247,"$19,704,960 ",506.2,506.3,,55,57,"$48,987,186.00 ","$14,741.41 ","$53,950,364.00 ","$15,908.46 ","3,323.10","3,391.30",19.4,24.4,23,16.8,10,4.4,1.9,3.6,0.8,86.3,9.3,0,10.4,10.7,50.3,4.6,49.7,4.7,0.2,,69.4,570,,317,Canton
147,4.8,89.8,0.7,0,0.7,4.1,08150000,2017,"$74,491 ",67,"$5,005,795 ",,,,,,"$15,592,665.00 ","$25,449.10 ","$15,610,198.00 ","$25,357.70 ",612.7,615.6,14.8,14.9,16.8,20.8,32.7,0,0,50.5,0.4,49.1,0,2.1,1,5.1,37.6,10.4,62.4,5,0.2,,76.2,496,,66,Cape Cod Regional Vocational Technical
108,3.7,92.6,1.9,0,0.9,0.9,00520000,2017,"$68,504 ",131,"$8,980,898 ",498.5,496.5,,50,46,"$22,836,665.00 ","$14,171.94 ","$24,927,662.00 ","$14,834.36 ","1,611.40","1,680.40",16.3,16.8,22.7,22.3,10.3,9.7,1.8,0,0,94.3,5.7,0.1,0.2,1.3,49.4,1,50.6,1.3,0.1,,95.9,558,,112,Carver
142,2.8,91.5,1.4,1.4,0,2.8,06350000,2017,"$71,924 ",128,"$9,235,038 ",495.3,495.4,,56,50,"$26,534,999.00 ","$16,362.46 ","$28,163,272.00 ","$15,343.65 ","1,621.70","1,835.50",16.9,22.4,25.9,18.8,10.5,0.9,4.7,1.6,0.5,88.2,9.7,0.1,1.1,0.8,48,3.3,52,3.1,0,,91.7,548,,131,Central Berkshire
379,1.1,95.5,0,0.3,0,3.2,00560000,2017,"$74,592 ",366,"$27,278,307 ",507.4,507.1,,55.5,55,"$65,514,283.00 ","$13,159.97 ","$75,606,265.00 ","$14,428.13 ","4,978.30","5,240.20",16.5,28.2,20.4,19,11.8,2,2.1,0.5,0.8,84.1,14.5,0.1,13.6,2.6,48.4,4.9,51.6,2.6,0.1,,76.1,595,,529,Chelmsford
440,23.4,57.3,1.6,3.4,0,14.3,00570000,2017,"$68,209 ",421,"$28,722,955 ",485.3,486.4,,49,38,"$87,322,464.00 ","$13,857.41 ","$109,091,340.00 ","$14,984.46 ","6,301.50","7,280.30",31.6,18.8,9.9,9.7,8.7,20.5,0.9,0,7.8,76,16.2,0.1,1.4,5.7,47.4,85.4,52.6,1,0,,6.3,476,,205,Chelsea
654,9.5,82.3,2.4,1.2,0,4.6,00610000,2017,"$79,321 ",573,"$45,427,432 ",494.8,497.3,,44,45,"$110,253,567.00 ","$14,368.47 ","$116,342,992.00 ","$14,341.55 ","7,673.30","8,112.30",18.1,26.3,22.2,15.5,9.2,7.1,1.5,3.8,3.1,80.5,12.7,0.1,1.8,3.7,47.5,35,52.5,2.8,0.1,,56.4,523,,313,Chicopee
52,1.9,80.8,3.8,0,1.9,11.5,04370000,2017,,,,,,,,,"$7,263,417.07 ","$26,080.65 ","$7,263,417.07 ","$26,080.65 ",278.5,278.5,58.1,17.3,6.7,5.3,0,12.6,0,0,2.4,73.5,24.1,0.4,0,65.2,54.8,29.7,45.2,1.4,0.4,,2.9,,,2,City on a Hill Charter Public School Circuit Street (District)
50,3,74.8,0,0,2.1,20.2,35040000,2017,,,,,,,,,"$5,105,287.97 ","$18,610.77 ","$5,105,287.97 ","$18,610.77 ",274.3,274.3,56.4,11.2,9.7,6.6,2.6,13.5,0,0,2.4,78.1,19.5,0,1.8,71.2,57.7,22.8,42.3,1.1,0,,3.2,,,,City on a Hill Charter Public School Dudley Square (District)
100,1,95,1,0,0,3,00640000,2017,"$67,203 ",144,"$9,697,448 ",494.3,487.4,,53,39,"$23,135,764.00 ","$12,337.76 ","$29,648,487.00 ","$13,517.75 ","1,875.20","2,193.30",20.7,18.4,21.5,15.9,14.6,5.8,3.1,0,4.5,79,16.5,0.1,1.5,3.9,45.9,23.7,54.1,1.4,0,,69.4,513,,97,Clinton
33,9.1,81.8,3,0,0,6.1,04380000,2017,,,,479.9,474.8,,50,33,"$7,316,432.18 ","$20,470.24 ","$7,316,432.18 ","$20,470.24 ",357.4,357.4,37.6,20.5,8.2,0,4.1,29.6,0,0,0,100,0,0.3,0,80.5,50.1,17.5,49.9,0.6,0.6,,0.6,417,,41,Codman Academy Charter Public (District)
90,0,100,0,0,0,0,00650000,2017,"$82,273 ",121,"$9,946,778 ",510.7,505.4,,70,60,"$24,189,250.00 ","$15,226.77 ","$26,012,209.00 ","$16,165.69 ","1,588.60","1,609.10",9.5,16.4,24.2,25.7,13.7,9.3,1.3,0,0,97.8,2.2,0.2,2.3,2.9,48,1,52,1.1,0,,92.5,580,,144,Cohasset
53,0,96.2,0,0,0,5.7,04360000,2017,,,,504.8,500.9,,66,56.5,"$6,747,082.00 ","$18,255.50 ","$6,747,082.00 ","$18,255.50 ",369.6,369.6,50.5,24.6,0.8,0,0,24.1,0,0,1.1,95.6,3.3,1.6,3.5,62,52.7,24.3,47.3,3.2,0.3,,5.1,532,,89,Community Charter School of Cambridge (District)
322,0,96.6,0,0,0,3.4,06400000,2017,"$100,222 ",100,"$10,022,221 ",,,,,,"$25,564,256.00 ","$20,069.29 ","$29,342,568.00 ","$22,148.68 ","1,273.80","1,324.80",10.2,26,26.3,23.3,13,1.2,0,0,0,96.2,3.8,0,9.5,4.3,52.1,4,47.8,3.7,0,,78.5,637,,299,Concord-Carlisle
271,1.5,93.7,1.5,0,0,3.3,00710000,2017,"$80,084 ",276,"$22,079,290 ",498.2,496.5,,41,42,"$52,327,813.00 ","$14,855.31 ","$57,208,656.00 ","$15,747.81 ","3,522.50","3,632.80",23.8,21.6,20.7,16.5,9.1,7.4,0.9,3,0.4,88.4,8.3,0.2,2.5,2,49.2,6.7,50.8,2.5,0.1,,85.9,557,,299,Danvers
267,4.9,90.3,0.4,1.1,0.4,3,00720000,2017,"$81,956 ",263,"$21,562,650 ",497.1,499.8,,36,48,"$46,466,923.00 ","$12,723.69 ","$50,354,508.00 ","$13,527.43 ","3,652.00","3,722.40",14.5,21.4,26.7,27,7.6,1.4,1.4,0,1.2,85.5,13.3,0,0.7,1.3,47.9,3,52.1,5.5,0.1,,89.5,542,,286,Dartmouth
198,2.5,92.9,0,0,0,4.5,00730000,2017,"$82,488 ",233,"$19,186,812 ",499.6,501.1,,43,49,"$49,472,912.00 ","$18,513.93 ","$54,285,378.00 ","$19,638.73 ","2,672.20","2,764.20",24.9,28.6,18.8,12.1,7.8,6.5,1.3,0,0.4,89.4,10.2,0.2,2.7,7.9,48.6,14,51.4,4.1,0,,71.1,554,,203,Dedham
199,8,78.9,1,3,0,9,06450000,2017,"$69,519 ",291,"$20,202,341 ",494.5,492.8,,51,40,"$52,577,368.00 ","$17,597.94 ","$61,476,523.00 ","$17,352.52 ","2,987.70","3,542.80",11,21,21.8,25.2,15.5,1.3,4.1,0,3.7,86.6,9.7,2.2,2.3,8.8,48,10.3,52,6.1,0.1,,70.2,520,,207,Dennis-Yarmouth
228,2.2,92.5,0.4,1.3,0,3.5,06500000,2017,"$70,796 ",239,"$16,898,969 ",500.6,499.6,,58,54,"$39,393,327.00 ","$13,613.95 ","$42,157,852.00 ","$14,259.86 ","2,893.60","2,956.40",19,18.6,22.3,20.5,12.3,4.6,2.7,5.4,0.4,85.5,8.7,0.1,1.2,0.8,47.8,4.4,52.2,2.8,0,,90.7,550,,224,Dighton-Rehoboth
107,5.6,88.8,0.9,0.9,0,3.7,00770000,2017,"$68,999 ",89,"$6,113,343 ",500.5,497.3,,43,45,"$16,226,608.00 ","$12,001.04 ","$19,242,347.00 ","$13,352.54 ","1,352.10","1,441.10",14,26.8,25.8,13.3,13.7,6.3,0,0,0,90.1,9.9,0,1.4,0.4,49.1,3,50.9,2.1,0.2,,92.9,528,,106,Douglas
160,0,98.8,0,0,0,1.3,06550000,2017,"$92,626 ",109,"$10,077,680 ",518.1,516.9,,73,65,"$22,943,450.00 ","$19,763.50 ","$24,224,571.00 ","$20,252.96 ","1,160.90","1,196.10",8.2,33.2,21.9,16.9,15.1,2.6,2.1,0,0.2,89.7,10.1,0.2,7.2,2.6,50.5,2.6,49.5,3.6,0,,83.7,645,,187,Dover-Sherborn
208,3.8,90.4,1,2.9,0,1.9,00790000,2017,"$71,600 ",217,"$15,508,531 ",500.5,498.1,,57,62,"$40,272,794.00 ","$11,363.33 ","$47,522,265.00 ","$12,206.17 ","3,544.10","3,893.30",20.4,18.8,25,15,15.9,4.4,0.5,0,1.2,86.3,12.5,0.1,5.4,5.6,49.4,7.7,50.6,1.7,0.1,,79.5,543,,209,Dracut
303,1.7,94.1,1,0.3,0,3,06580000,2017,"$74,143 ",258,"$19,143,750 ",501.3,500.8,,53,50,"$45,113,219.00 ","$11,374.99 ","$48,462,472.00 ","$11,939.80 ","3,966.00","4,058.90",15.4,20,22.3,24.8,11.8,4,1.6,0,0.9,91.1,8,0.1,1.4,1.5,49.2,7.8,50.8,2.2,0.1,,86.8,561,,344,Dudley-Charlton Reg
276,0,97.8,0,0,0,2.2,00820000,2017,"$79,655 ",237,"$18,838,363 ",504.9,506.4,,49,56,"$43,530,613.00 ","$14,005.09 ","$45,747,785.00 ","$14,507.45 ","3,108.20","3,153.40",23.3,20.2,24.6,15.1,11.3,3.8,1.6,0,0.4,89,10.6,0.1,1.3,0.3,48.8,2,51.2,2.7,0,,93.7,591,,393,Duxbury
184,2.2,96.2,0,0,0,1.6,00830000,2017,"$79,703 ",130,"$10,377,376 ",500.5,501.5,,43,51,"$25,098,627.00 ","$10,832.38 ","$27,686,517.00 ","$11,598.88 ","2,317.00","2,387.00",19.5,19.9,18.6,20.7,12,9.4,0,1.1,0.8,96.2,1.9,0.3,0.5,2.7,48.9,1.9,51,2.9,0.1,,91.5,520,,178,East Bridgewater
228,2.6,94.7,0.4,0.4,0,1.8,00870000,2017,"$77,543 ",199,"$15,392,201 ",503.6,501.5,,47,38,"$37,426,565.00 ","$14,212.26 ","$40,503,739.00 ","$14,908.07 ","2,633.40","2,716.90",9.9,20.1,21.3,25.5,19.8,1.1,2.3,1.4,1.3,82,15.3,0.1,5.4,2.5,49.1,5.9,50.9,1.7,0.1,,84.4,552,,249,East Longmeadow
111,4.5,92.8,1.8,0,0,0.9,00860000,2017,"$64,258 ",114,"$7,293,275 ",491.5,493.3,,34,36,"$19,079,233.00 ","$12,280.66 ","$24,573,923.00 ","$13,004.83 ","1,553.60","1,889.60",12.4,21.2,27.6,17,18.6,1,2.1,2.9,1.5,79.7,15.9,0.3,3.8,1.7,49,11.4,51,2.2,0.1,,80.6,557,,52,Easthampton
298,0,98.3,0.3,0,0,1.3,00880000,2017,"$78,689 ",258,"$20,324,632 ",504.7,507,,60,59,"$47,416,845.00 ","$12,686.10 ","$51,160,582.00 ","$13,433.26 ","3,737.70","3,808.50",17.5,23.6,21.6,18.7,12.9,5,0.7,0.1,0.6,85.5,13.9,0.2,3.3,4.9,50.1,4.1,49.9,2.9,0.1,,84.6,568,,439,Easton
86,1.2,95.3,0,0,0,3.5,04520000,2017,,,,,,,,,"$6,998,402.00 ","$19,471.56 ","$6,998,402.00 ","$19,471.56 ",359.4,359.4,29.8,26.4,13.5,11.7,3.9,7.8,6.8,2.3,1.6,88,8.1,0,1.9,44.6,65.7,46.8,34.3,2.2,0,,4.5,451,,127,Edward M. Kennedy Academy for Health Careers (Horace Mann Charter) (District)
255,1.6,97.3,0,0,0,1.2,08170000,2017,"$77,496 ",113,"$8,772,491 ",,,,,,"$24,466,231.00 ","$19,169.65 ","$24,905,605.00 ","$19,261.88 ","1,276.30","1,293.00",26,27.6,13.2,20.1,9.2,1.9,2.1,39.9,0,47.7,12.4,0.1,1.5,1.3,57,12.3,43,3.1,0.1,,81.6,489,,273,Essex North Shore Agricultural and Technical School District
574,11.8,77.5,0.7,3.3,0,6.6,00930000,2017,"$85,345 ",503,"$42,902,755 ",492.6,491.9,,48,41,"$103,379,166.00 ","$14,454.58 ","$120,327,139.00 ","$15,057.27 ","7,152.00","7,991.30",32.5,25.4,19.3,7.1,7.3,6.7,1.7,0,3.1,81.7,15.2,0.4,4.9,17.4,48.7,48,51.3,1.8,0.1,,27.4,493,,454,Everett
161,6.2,87,0,1.9,0,5,00940000,2017,"$68,347 ",145,"$9,930,877 ",500.6,498.5,,58.5,63,"$23,706,044.00 ","$11,641.72 ","$25,723,185.00 ","$12,358.60 ","2,036.30","2,081.40",16.6,27.7,32,13.9,5.5,4.2,0,0,1.4,91.5,7.1,0.3,2,1.2,49.6,5.5,50.4,3.4,0,,87.6,547,,155,Fairhaven
335,14.6,71.2,3.9,6.4,0,3.9,00950000,2017,"$67,413 ",750,"$50,593,089 ",491,490.8,,50,48,"$145,089,603.00 ","$14,217.78 ","$172,354,339.00 ","$14,503.55 ","10,204.80","11,883.60",24.6,18,19.1,15.8,10.3,11.7,0.5,2.6,0,85.1,12.3,0.2,4.2,7.5,48.2,24.9,51.8,7.4,0.1,,55.6,530,,293,Fall River
246,3.7,91.9,1.6,0.8,0,2,00960000,2017,"$75,472 ",299,"$22,573,703 ",504.3,500.8,,58,57,"$57,902,046.00 ","$16,740.02 ","$62,534,523.00 ","$17,269.96 ","3,458.90","3,621.00",12.1,23.8,23.3,22.7,12.1,3.9,2.3,0.3,1.7,81.7,16.2,1.2,2.5,4.9,48.6,4.9,51.4,5.8,0.1,,80.7,563,,255,Falmouth
372,8.9,76.9,1.3,3,0,9.9,00970000,2017,"$74,039 ",374,"$27,690,548 ",490.2,488.8,,41,37,"$70,473,110.00 ","$13,496.20 ","$85,187,889.00 ","$14,223.82 ","5,221.70","5,989.10",18.7,16.8,25.1,20.2,11,6.6,1.6,1.3,4.1,77.4,17.2,0.1,4.9,5.9,48.6,49.3,51.4,7,0.1,,32.7,480,,328,Fitchburg
39,2.6,84.6,10.3,0,0,2.6,04130000,2017,,,,503.3,501.4,,39,54.5,"$3,462,249.12 ","$15,803.59 ","$3,462,249.12 ","$15,803.59 ",219.1,219.1,16.2,41,13.8,16.4,7.3,5.4,0,0,0,90.4,9.6,0,2.7,0.5,52.7,7.3,47.3,4.5,0,,85,545,,40,Four Rivers Charter Public (District)
213,0,99.5,0,0,0,0.5,00990000,2017,"$84,855 ",209,"$17,751,861 ",498.1,504.7,,39,58,"$41,847,205.00 ","$15,983.20 ","$46,116,359.00 ","$16,730.65 ","2,618.20","2,756.40",13.9,29.5,20.9,12,18,4.5,1.2,0,0.7,91.7,7.6,0.4,3.5,4.3,47.2,3.7,52.8,1.9,0.1,,86,571,,232,Foxborough
61,1.6,96.7,0,0,0,1.6,04460000,2017,,,,499.5,495.7,,47,45,"$15,511,014.36 ","$12,313.85 ","$15,511,014.36 ","$12,313.85 ","1,259.60","1,259.60",28.2,26.2,14.4,19.9,6,5.4,0,0.6,4.1,81.9,13.4,0.1,10,36.6,52.6,4.4,47.4,5.9,0.1,,42.9,544,,84,Foxborough Regional Charter (District)
574,7.7,82.6,0,1.6,0,8.2,01000000,2017,"$78,674 ",741,"$58,328,891 ",492.5,492,,48,52,"$148,993,191.00 ","$17,190.27 ","$174,238,507.00 ","$18,578.70 ","8,667.30","9,378.40",23.8,22.7,19.4,18.2,7.4,6.6,1.8,0,4.2,84.2,11.6,0.1,5.1,6.6,49,26.8,51,3.5,0.1,,57.9,578,,496,Framingham
62,1.6,88.7,0,0,0,9.7,04780000,2017,,,,504.5,503.7,,44,49,"$6,079,051.22 ","$15,442.17 ","$6,079,051.22 ","$15,442.17 ",393.7,393.7,17.5,26.2,24.4,11,3.5,17.5,0,0,0,93.2,6.8,0,1.5,0.5,54.2,2.8,45.6,3.5,0,,91.6,562,,76,Francis W. Parker Charter Essential (District)
410,0.5,95.6,0.5,0.5,0,2.9,01010000,2017,"$76,930 ",415,"$31,902,714 ",506.1,506.6,,56.5,55,"$69,960,878.00 ","$12,938.71 ","$82,114,302.00 ","$13,950.07 ","5,407.10","5,886.30",22.1,22.4,23,16.4,9,6.5,0.6,0,0,81.4,18.6,0.1,5.1,1.6,48.5,2.6,51.5,1.7,0.5,,88.4,582,,638,Franklin
123,7.3,88.6,0.8,0,0,3.3,08180000,2017,"$75,564 ",52,"$3,914,216 ",,,,,,"$11,708,571.00 ","$25,304.89 ","$11,712,171.00 ","$25,274.43 ",462.7,463.4,14.1,32.3,10.7,20.6,17.8,0,4.5,51.7,1,41.6,5.8,0,0.2,1,32.2,2.5,67.8,0.4,0,,95.9,530,,15,Franklin County Regional Vocational Technical
